Mode,Line,Station,Trip purpose: Home-based work,Trip purpose: Home-based school,Trip purpose: Home-based social activity,Trip purpose: Home-based other,Trip purpose: Non-home-based,Count: Trip purpose,Trip frequency: 6-7 days a week,Trip frequency: 5 days a week,Trip frequency: 3-4 days a week,Trip frequency: 1-2 days a week,Trip frequency: 1-3 days a month,Trip frequency: Less than once a month,Count: Trip frequency,Fare: Monthly pass,Fare: Pay-per-ride,Fare: 1-day or 7-day LinkPass,Fare: Other,Count: Fare,Monthly pass type: Reduced-fare pass,Monthly pass type: Local Bus,Monthly pass type: LinkPass or Express Bus,Monthly pass type: Commuter rail or ferry,Count: Monthly pass type,Pay-per-ride type: Full cash fare on board,Pay-per-ride type: Reduced fare,Pay-per-ride type: mTicket (single/multi-ride),Pay-per-ride type: CharlieCard (plastic),Pay-per-ride type: CharlieTicket (paper),Count: Pay-per-ride type,Access to first MBTA service: Walked or bicycled,Access to first MBTA service: Drove alone,Access to first MBTA service: Carpooled,Access to first MBTA service: Dropped off by personal vehicle,Access to first MBTA service: Dropped off by other vehicle,Count: Access to first MBTA service,Previous transit mode: Bus or Silver Line,Previous transit mode: Rail rapid transit,Previous transit mode: Commuter rail or ferry,Count: Previous transit mode,Use alternative modes: Yes,Use alternative modes: No,Count: Use alternative modes,Alternative modes: Walk,Alternative modes: Bicycle,Alternative modes: Drive alone,Alternative modes: Drive or ride in a carpool,Alternative modes: Take a taxi or use a rideshare company,Alternative modes: Take a private shuttle or other transit,Alternative modes: Take a different MBTA service,Alternative modes: Other,Count: Alternative modes,Usable household vehicles: 0,Usable household vehicles: 1,Usable household vehicles: 2,Usable household vehicles: 3 or more,Count: Usable household vehicles,Vehicles per capita: None,Vehicles per capita: 0.01-0.49,Vehicles per capita: 0.50-0.99,Vehicles per capita: 1.00-1.49,Vehicles per capita: 1.50-1.99,Vehicles per capita: 2 or more,Count: Vehicles per capita,Valid driver's license: Yes,Valid driver's license: No,Count: Valid driver's license,"Household income: Less than $14,500","Household income: $14,500 to $28,999","Household income: $29,000 to $43,499","Household income: $43,500 to $57,999","Household income: $58,000 to $75,999","Household income: $76,000 to $108,499","Household income: $108,500 to $151,999","Household income: $152,000 or more",Household income: Prefer not to say,Count: Household income,Low-income classification: Yes,Low-income classification: No,Count: Low-income classification,Race: American Indian or Alaska Native,Race: Asian,Race: Black or African American,Race: Native Hawaiian or other Pacific Islander,Race: White,Race: Other,Race: Prefer not to say,Count: Race,Hispanic or Latino/Latina: Yes,Hispanic or Latino/Latina: No,Hispanic or Latino/Latina: Prefer not to say,Count: Hispanic or Latino/Latina,Minority classification: Yes,Minority classification: No,Count: Minority classification,Age: Under 18,Age: 18 to 21,Age: 22 to 34,Age: 35 to 44,Age: 45 to 64,Age: 65 or over,Count: Age,Gender: Man,Gender: Woman,Gender: Other,Gender: Prefer not to say,Count: Gender,Ability to understand English: Always,Ability to understand English: Often,Ability to understand English: Sometimes,Ability to understand English: Never,Ability to understand English: Prefer not to say,Count: Ability to understand English
Commuter Rail,Fitchburg Line,Porter Square,1674.0,79.0,59.0,74.0,60.0,394.0,54.0,1319.0,341.0,128.0,54.0,109.0,406.0,1482.0,375.0,5.0,25.0,382.0,0.0,0.0,10.0,1472.0,300.0,40.0,89.0,158.0,0.0,89.0,76.0,484.0,10.0,5.0,44.0,0.0,110.0,44.0,1427.0,0.0,298.0,1235.0,731.0,398.0,0.0,173.0,598.0,301.0,109.0,35.0,459.0,0.0,250.0,262.0,642.0,869.0,222.0,404.0,257.0,257.0,726.0,563.0,79.0,5.0,382.0,1882.0,119.0,405.0,54.0,35.0,74.0,79.0,178.0,222.0,331.0,578.0,420.0,399.0,163.0,1388.0,314.0,5.0,178.0,40.0,5.0,1576.0,30.0,202.0,401.0,69.0,1714.0,138.0,389.0,286.0,1422.0,346.0,35.0,25.0,593.0,370.0,790.0,178.0,403.0,1047.0,904.0,0.0,49.0,405.0,1951.0,25.0,5.0,0.0,15.0,404.0
Commuter Rail,Fitchburg Line,Shirley and Ayer,459.0,13.0,6.0,25.0,19.0,81.0,0.0,362.0,110.0,39.0,6.0,19.0,83.0,368.0,123.0,0.0,0.0,76.0,0.0,0.0,0.0,368.0,57.0,19.0,6.0,39.0,0.0,58.0,19.0,103.0,323.0,26.0,77.0,0.0,82.0,0.0,0.0,0.0,0.0,245.0,271.0,80.0,0.0,13.0,129.0,77.0,6.0,0.0,103.0,0.0,39.0,0.0,155.0,284.0,84.0,81.0,0.0,45.0,213.0,213.0,19.0,0.0,76.0,517.0,6.0,81.0,6.0,0.0,19.0,26.0,45.0,77.0,97.0,142.0,103.0,80.0,26.0,387.0,64.0,0.0,32.0,0.0,0.0,439.0,26.0,32.0,80.0,26.0,452.0,13.0,76.0,58.0,381.0,68.0,19.0,0.0,123.0,129.0,232.0,26.0,82.0,278.0,239.0,6.0,13.0,83.0,517.0,0.0,6.0,0.0,6.0,82.0
Commuter Rail,Fitchburg Line,Silver Hill to Kendal Green,,,,,,36.0,,,,,,,37.0,110.0,51.0,0.0,0.0,35.0,0.0,0.0,0.0,110.0,24.0,9.0,27.0,5.0,0.0,10.0,11.0,,,,,,37.0,0.0,0.0,0.0,0.0,101.0,60.0,35.0,0.0,0.0,46.0,32.0,5.0,9.0,41.0,0.0,22.0,,,,,35.0,,,,,,,33.0,138.0,28.0,36.0,,,,,,,,,,35.0,,,19.0,0.0,14.0,0.0,0.0,147.0,5.0,14.0,36.0,5.0,152.0,9.0,36.0,18.0,129.0,32.0,,,,,,,36.0,,,,,37.0,170.0,0.0,0.0,0.0,0.0,37.0
Commuter Rail,Fitchburg Line,South Acton,661.0,17.0,11.0,52.0,11.0,132.0,6.0,461.0,194.0,40.0,28.0,40.0,135.0,587.0,142.0,0.0,34.0,134.0,0.0,0.0,0.0,587.0,103.0,40.0,34.0,28.0,0.0,40.0,25.0,102.0,416.0,28.0,199.0,40.0,138.0,0.0,0.0,0.0,0.0,336.0,416.0,132.0,0.0,23.0,239.0,68.0,0.0,6.0,108.0,0.0,59.0,23.0,148.0,467.0,137.0,136.0,23.0,80.0,387.0,228.0,28.0,0.0,131.0,729.0,46.0,136.0,11.0,11.0,28.0,6.0,57.0,85.0,125.0,205.0,239.0,135.0,51.0,478.0,93.0,0.0,103.0,17.0,0.0,581.0,23.0,74.0,135.0,17.0,649.0,68.0,129.0,137.0,513.0,114.0,17.0,11.0,125.0,165.0,404.0,51.0,136.0,433.0,308.0,0.0,34.0,136.0,746.0,17.0,0.0,0.0,0.0,134.0
Commuter Rail,Fitchburg Line,Wachusett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commuter Rail,Fitchburg Line,Waltham,441.0,27.0,16.0,26.0,11.0,97.0,5.0,350.0,65.0,48.0,27.0,22.0,96.0,350.0,124.0,0.0,11.0,90.0,0.0,0.0,0.0,350.0,65.0,16.0,5.0,54.0,0.0,49.0,23.0,306.0,97.0,11.0,22.0,21.0,85.0,70.0,0.0,0.0,13.0,307.0,199.0,94.0,5.0,38.0,113.0,54.0,59.0,5.0,183.0,0.0,57.0,113.0,204.0,167.0,32.0,96.0,108.0,54.0,194.0,118.0,11.0,5.0,91.0,473.0,48.0,97.0,27.0,5.0,27.0,48.0,43.0,75.0,113.0,97.0,86.0,97.0,59.0,376.0,81.0,0.0,54.0,22.0,5.0,403.0,16.0,38.0,97.0,16.0,479.0,16.0,95.0,91.0,382.0,88.0,0.0,22.0,258.0,97.0,108.0,27.0,95.0,253.0,253.0,0.0,16.0,97.0,516.0,0.0,5.0,0.0,0.0,97.0
Commuter Rail,Fitchburg Line,Waverley and Belmont,172.0,56.0,7.0,14.0,4.0,68.0,4.0,157.0,71.0,0.0,11.0,26.0,72.0,146.0,71.0,0.0,7.0,60.0,0.0,0.0,0.0,145.0,39.0,15.0,11.0,19.0,0.0,26.0,19.0,168.0,22.0,4.0,37.0,7.0,64.0,30.0,0.0,0.0,8.0,187.0,75.0,70.0,0.0,19.0,71.0,45.0,19.0,7.0,86.0,0.0,50.0,19.0,90.0,127.0,30.0,71.0,15.0,49.0,123.0,67.0,7.0,0.0,70.0,213.0,52.0,71.0,4.0,0.0,0.0,15.0,15.0,15.0,67.0,75.0,71.0,70.0,4.0,187.0,51.0,0.0,30.0,11.0,7.0,221.0,11.0,15.0,72.0,7.0,239.0,15.0,70.0,49.0,194.0,65.0,45.0,7.0,64.0,30.0,112.0,11.0,72.0,123.0,131.0,0.0,7.0,70.0,266.0,0.0,0.0,0.0,0.0,71.0
Commuter Rail,Fitchburg Line,West Concord,351.0,8.0,0.0,20.0,20.0,101.0,12.0,264.0,83.0,35.0,12.0,16.0,107.0,296.0,110.0,0.0,0.0,103.0,0.0,0.0,0.0,296.0,75.0,28.0,8.0,43.0,0.0,32.0,28.0,178.0,170.0,32.0,43.0,0.0,107.0,0.0,0.0,0.0,0.0,241.0,177.0,106.0,0.0,20.0,138.0,63.0,12.0,0.0,95.0,0.0,61.0,28.0,118.0,209.0,59.0,105.0,28.0,47.0,197.0,114.0,12.0,0.0,101.0,394.0,20.0,105.0,4.0,4.0,4.0,4.0,16.0,67.0,91.0,150.0,67.0,103.0,12.0,327.0,86.0,8.0,51.0,8.0,0.0,359.0,8.0,16.0,106.0,8.0,375.0,12.0,100.0,67.0,316.0,97.0,0.0,0.0,99.0,79.0,217.0,24.0,106.0,205.0,205.0,0.0,8.0,106.0,406.0,8.0,0.0,0.0,0.0,105.0
Commuter Rail,Franklin and Providence/Stoughton Lines,Dedham Corp. Center and Route 128,1932.0,25.0,13.0,13.0,51.0,161.0,13.0,1364.0,492.0,51.0,63.0,38.0,160.0,1452.0,480.0,0.0,38.0,156.0,0.0,0.0,0.0,1452.0,115.0,25.0,26.0,202.0,0.0,227.0,38.0,253.0,1364.0,63.0,316.0,38.0,161.0,0.0,0.0,25.0,2.0,909.0,1048.0,155.0,0.0,13.0,429.0,177.0,13.0,13.0,404.0,0.0,73.0,76.0,404.0,972.0,568.0,160.0,63.0,126.0,1111.0,467.0,114.0,25.0,151.0,1932.0,63.0,158.0,0.0,13.0,13.0,76.0,126.0,189.0,341.0,808.0,404.0,156.0,25.0,1540.0,124.0,13.0,76.0,38.0,13.0,1667.0,51.0,152.0,159.0,51.0,1730.0,164.0,154.0,189.0,1566.0,139.0,13.0,0.0,543.0,328.0,960.0,139.0,157.0,985.0,985.0,0.0,51.0,160.0,1995.0,0.0,0.0,0.0,13.0,159.0
Commuter Rail,Franklin Line,Back Bay,1783.0,16.0,16.0,24.0,32.0,233.0,96.0,1382.0,321.0,64.0,16.0,48.0,240.0,1414.0,386.0,0.0,64.0,232.0,0.0,0.0,0.0,1413.0,176.0,48.0,88.0,96.0,0.0,153.0,48.0,1125.0,0.0,0.0,0.0,8.0,141.0,96.0,691.0,0.0,98.0,771.0,1092.0,232.0,0.0,8.0,450.0,145.0,16.0,8.0,257.0,8.0,97.0,64.0,426.0,972.0,458.0,239.0,40.0,257.0,884.0,586.0,72.0,16.0,231.0,1856.0,64.0,239.0,0.0,8.0,64.0,80.0,88.0,281.0,370.0,570.0,426.0,235.0,72.0,1390.0,182.0,0.0,80.0,96.0,0.0,1599.0,48.0,104.0,239.0,40.0,1727.0,88.0,231.0,217.0,1518.0,216.0,8.0,8.0,522.0,418.0,860.0,120.0,241.0,755.0,1157.0,0.0,16.0,240.0,1880.0,16.0,0.0,0.0,0.0,236.0
Commuter Rail,Franklin Line,Endicott and Islington,378.0,0.0,9.0,9.0,18.0,45.0,18.0,332.0,28.0,9.0,9.0,18.0,45.0,341.0,74.0,0.0,9.0,46.0,0.0,0.0,0.0,341.0,37.0,0.0,18.0,18.0,0.0,37.0,8.0,,,,,,47.0,0.0,0.0,0.0,0.0,184.0,212.0,43.0,0.0,0.0,111.0,28.0,0.0,0.0,74.0,0.0,20.0,,,,,45.0,,,,,,,44.0,405.0,9.0,45.0,,,,,,,,,,45.0,,,28.0,0.0,46.0,0.0,0.0,322.0,9.0,37.0,45.0,9.0,350.0,37.0,43.0,55.0,304.0,39.0,,,,,,,45.0,,,,,45.0,396.0,18.0,0.0,0.0,0.0,45.0
Commuter Rail,Franklin Line,Forge Park/495,712.0,22.0,7.0,15.0,7.0,102.0,15.0,479.0,180.0,67.0,37.0,7.0,105.0,607.0,180.0,0.0,15.0,107.0,0.0,0.0,0.0,606.0,81.0,0.0,22.0,90.0,0.0,67.0,24.0,60.0,584.0,30.0,112.0,29.0,109.0,0.0,0.0,0.0,0.0,277.0,487.0,102.0,0.0,0.0,210.0,37.0,0.0,0.0,45.0,0.0,37.0,15.0,120.0,419.0,240.0,106.0,15.0,82.0,255.0,292.0,60.0,37.0,99.0,764.0,22.0,105.0,0.0,0.0,15.0,15.0,52.0,142.0,120.0,180.0,255.0,104.0,15.0,509.0,70.0,15.0,30.0,22.0,0.0,667.0,15.0,52.0,106.0,22.0,704.0,45.0,103.0,82.0,629.0,95.0,0.0,30.0,142.0,97.0,494.0,30.0,106.0,300.0,472.0,0.0,22.0,106.0,779.0,7.0,0.0,7.0,0.0,106.0
Commuter Rail,Franklin Line,Franklin,574.0,24.0,0.0,16.0,8.0,78.0,16.0,503.0,96.0,16.0,8.0,24.0,83.0,510.0,120.0,0.0,24.0,82.0,0.0,0.0,0.0,511.0,64.0,16.0,40.0,24.0,0.0,40.0,15.0,176.0,303.0,16.0,152.0,0.0,81.0,0.0,0.0,0.0,0.0,247.0,367.0,77.0,0.0,0.0,168.0,72.0,0.0,8.0,32.0,0.0,31.0,16.0,136.0,319.0,191.0,83.0,16.0,48.0,263.0,271.0,16.0,0.0,77.0,638.0,24.0,83.0,8.0,0.0,24.0,16.0,48.0,112.0,144.0,152.0,144.0,81.0,32.0,471.0,63.0,0.0,8.0,32.0,0.0,566.0,16.0,40.0,83.0,8.0,574.0,56.0,80.0,48.0,542.0,74.0,0.0,16.0,168.0,96.0,311.0,64.0,82.0,231.0,407.0,0.0,24.0,83.0,654.0,8.0,0.0,0.0,0.0,83.0
Commuter Rail,Franklin Line,Norfolk,714.0,6.0,12.0,24.0,12.0,127.0,12.0,563.0,157.0,18.0,18.0,12.0,129.0,593.0,145.0,0.0,12.0,124.0,6.0,0.0,0.0,587.0,98.0,6.0,24.0,48.0,0.0,66.0,24.0,60.0,430.0,85.0,170.0,36.0,129.0,0.0,0.0,0.0,0.0,333.0,430.0,126.0,0.0,12.0,212.0,73.0,0.0,12.0,97.0,0.0,56.0,12.0,127.0,442.0,188.0,127.0,12.0,42.0,418.0,212.0,54.0,6.0,123.0,751.0,18.0,127.0,0.0,6.0,0.0,36.0,24.0,85.0,163.0,260.0,194.0,127.0,6.0,569.0,95.0,0.0,18.0,6.0,0.0,714.0,6.0,30.0,128.0,6.0,702.0,30.0,122.0,30.0,666.0,115.0,0.0,0.0,194.0,188.0,339.0,54.0,128.0,333.0,442.0,0.0,0.0,128.0,757.0,12.0,0.0,0.0,0.0,127.0
Commuter Rail,Franklin Line,Norwood Depot and Norwood Central,1246.0,17.0,0.0,27.0,70.0,156.0,78.0,1055.0,209.0,26.0,9.0,52.0,164.0,1150.0,218.0,0.0,9.0,158.0,0.0,0.0,0.0,1150.0,132.0,44.0,9.0,70.0,0.0,96.0,25.0,331.0,776.0,52.0,218.0,26.0,161.0,26.0,0.0,0.0,3.0,453.0,898.0,155.0,0.0,9.0,244.0,87.0,35.0,17.0,174.0,17.0,55.0,78.0,314.0,750.0,288.0,164.0,70.0,157.0,619.0,471.0,26.0,17.0,156.0,1360.0,70.0,164.0,0.0,17.0,113.0,78.0,70.0,244.0,331.0,253.0,305.0,162.0,131.0,976.0,127.0,0.0,87.0,52.0,0.0,1159.0,26.0,87.0,161.0,44.0,1255.0,78.0,158.0,174.0,1107.0,147.0,9.0,17.0,427.0,235.0,671.0,61.0,163.0,497.0,889.0,0.0,44.0,164.0,1403.0,17.0,0.0,0.0,17.0,165.0
Commuter Rail,Franklin Line,Plimptonville and Walpole,696.0,5.0,5.0,10.0,15.0,145.0,0.0,525.0,156.0,30.0,5.0,25.0,147.0,540.0,187.0,0.0,15.0,147.0,0.0,0.0,0.0,540.0,107.0,30.0,40.0,30.0,0.0,86.0,37.0,106.0,490.0,25.0,131.0,5.0,150.0,0.0,0.0,0.0,0.0,298.0,429.0,144.0,0.0,5.0,136.0,91.0,20.0,0.0,121.0,0.0,57.0,10.0,96.0,520.0,126.0,149.0,10.0,66.0,343.0,267.0,15.0,5.0,140.0,732.0,15.0,148.0,0.0,0.0,15.0,15.0,25.0,111.0,141.0,283.0,141.0,145.0,15.0,575.0,117.0,10.0,45.0,5.0,0.0,651.0,20.0,35.0,148.0,15.0,656.0,30.0,139.0,76.0,580.0,130.0,5.0,10.0,161.0,151.0,373.0,50.0,149.0,338.0,409.0,0.0,10.0,150.0,727.0,5.0,5.0,0.0,0.0,146.0
Commuter Rail,Franklin Line,Ruggles,532.0,33.0,0.0,0.0,0.0,86.0,7.0,460.0,85.0,13.0,7.0,0.0,87.0,506.0,66.0,0.0,13.0,89.0,0.0,0.0,0.0,507.0,77.0,0.0,7.0,39.0,0.0,20.0,10.0,322.0,0.0,0.0,0.0,112.0,66.0,85.0,59.0,0.0,22.0,237.0,309.0,83.0,0.0,7.0,112.0,53.0,7.0,13.0,118.0,0.0,37.0,7.0,145.0,302.0,125.0,88.0,7.0,26.0,243.0,243.0,33.0,7.0,85.0,559.0,20.0,88.0,7.0,0.0,7.0,39.0,59.0,85.0,131.0,85.0,151.0,86.0,13.0,401.0,63.0,7.0,26.0,13.0,0.0,506.0,13.0,13.0,88.0,20.0,506.0,26.0,84.0,66.0,460.0,80.0,0.0,26.0,204.0,72.0,263.0,13.0,88.0,191.0,388.0,0.0,0.0,88.0,559.0,20.0,0.0,0.0,0.0,88.0
Commuter Rail,Franklin Line,South Station,3054.0,15.0,23.0,84.0,108.0,425.0,77.0,2420.0,588.0,124.0,77.0,101.0,438.0,2614.0,704.0,0.0,23.0,432.0,8.0,0.0,0.0,2606.0,338.0,70.0,92.0,224.0,0.0,317.0,91.0,2057.0,8.0,0.0,0.0,62.0,275.0,209.0,982.0,100.0,167.0,1237.0,2026.0,422.0,0.0,8.0,650.0,247.0,62.0,15.0,441.0,8.0,159.0,124.0,673.0,1956.0,626.0,437.0,116.0,379.0,1376.0,1160.0,101.0,54.0,412.0,3248.0,131.0,437.0,0.0,31.0,116.0,124.0,209.0,526.0,626.0,951.0,766.0,433.0,147.0,2436.0,334.0,23.0,186.0,77.0,0.0,2838.0,70.0,209.0,434.0,77.0,2977.0,201.0,421.0,333.0,2675.0,389.0,8.0,46.0,858.0,588.0,1670.0,193.0,435.0,1454.0,1848.0,0.0,93.0,439.0,3317.0,46.0,8.0,8.0,15.0,439.0
Commuter Rail,Franklin Line,Windsor Gardens,280.0,13.0,0.0,0.0,13.0,24.0,,,,,,,25.0,,,,,22.0,,,,,19.0,,,,,,2.0,,,,,,24.0,0.0,0.0,0.0,0.0,,,23.0,,,,,,,,,8.0,,,,,25.0,,,,,,,25.0,293.0,25.0,25.0,,,,,,,,,,25.0,,,21.0,,,,,,,,25.0,13.0,293.0,13.0,25.0,,,23.0,,,,,,,25.0,,,,,25.0,305.0,13.0,0.0,0.0,0.0,25.0
Commuter Rail,Greenbush and Kingston/Plymouth Lines,"South Weymouth, Weymouth Landing/East Braintree, and East Weymouth",1321.0,38.0,0.0,77.0,64.0,117.0,13.0,1116.0,244.0,64.0,38.0,51.0,119.0,1116.0,295.0,0.0,26.0,112.0,0.0,0.0,0.0,1115.0,87.0,13.0,77.0,115.0,0.0,90.0,23.0,359.0,846.0,115.0,205.0,0.0,119.0,0.0,0.0,0.0,0.0,731.0,769.0,117.0,0.0,0.0,333.0,128.0,0.0,26.0,359.0,0.0,57.0,0.0,500.0,795.0,218.0,118.0,0.0,154.0,539.0,757.0,26.0,0.0,115.0,1462.0,51.0,118.0,0.0,13.0,26.0,77.0,154.0,256.0,295.0,333.0,346.0,117.0,38.0,1116.0,90.0,0.0,26.0,0.0,0.0,1423.0,38.0,38.0,118.0,26.0,1372.0,64.0,114.0,51.0,1334.0,108.0,26.0,0.0,372.0,359.0,616.0,141.0,118.0,449.0,1052.0,0.0,13.0,118.0,1488.0,26.0,0.0,0.0,0.0,118.0
Commuter Rail,Greenbush Line,Greenbush,439.0,33.0,0.0,17.0,6.0,89.0,0.0,322.0,122.0,39.0,17.0,11.0,92.0,322.0,144.0,0.0,11.0,86.0,0.0,0.0,0.0,322.0,58.0,17.0,22.0,50.0,0.0,56.0,26.0,17.0,355.0,11.0,122.0,12.0,93.0,0.0,0.0,0.0,0.0,317.0,189.0,91.0,0.0,6.0,150.0,61.0,0.0,17.0,167.0,0.0,57.0,0.0,78.0,272.0,161.0,92.0,0.0,44.0,233.0,183.0,39.0,0.0,90.0,483.0,22.0,91.0,0.0,0.0,6.0,11.0,39.0,44.0,61.0,200.0,139.0,90.0,6.0,355.0,65.0,17.0,6.0,17.0,6.0,455.0,11.0,33.0,91.0,0.0,433.0,33.0,84.0,28.0,405.0,78.0,28.0,6.0,50.0,78.0,289.0,67.0,93.0,239.0,261.0,0.0,11.0,92.0,505.0,11.0,0.0,0.0,0.0,93.0
Commuter Rail,Greenbush Line,North Scituate,368.0,12.0,6.0,12.0,6.0,70.0,0.0,253.0,109.0,23.0,6.0,12.0,70.0,248.0,121.0,0.0,12.0,66.0,0.0,0.0,0.0,248.0,43.0,17.0,6.0,63.0,0.0,35.0,21.0,23.0,265.0,29.0,86.0,0.0,70.0,0.0,0.0,0.0,0.0,259.0,127.0,67.0,0.0,6.0,115.0,69.0,0.0,0.0,155.0,0.0,46.0,0.0,58.0,259.0,86.0,70.0,0.0,46.0,190.0,115.0,29.0,12.0,68.0,397.0,6.0,70.0,0.0,0.0,6.0,6.0,0.0,63.0,86.0,178.0,63.0,70.0,6.0,334.0,59.0,12.0,6.0,0.0,0.0,368.0,6.0,17.0,69.0,6.0,368.0,17.0,68.0,17.0,351.0,64.0,12.0,0.0,98.0,69.0,213.0,12.0,70.0,184.0,219.0,0.0,0.0,70.0,391.0,0.0,0.0,0.0,12.0,70.0
Commuter Rail,Greenbush Line,South Station,2182.0,16.0,16.0,80.0,57.0,289.0,41.0,1653.0,480.0,114.0,49.0,65.0,295.0,1669.0,546.0,0.0,65.0,280.0,0.0,0.0,0.0,1668.0,205.0,73.0,49.0,212.0,0.0,211.0,67.0,1514.0,0.0,0.0,0.0,16.0,188.0,154.0,562.0,106.0,101.0,1425.0,920.0,288.0,0.0,24.0,619.0,236.0,24.0,33.0,863.0,8.0,176.0,16.0,505.0,1303.0,578.0,295.0,16.0,261.0,1026.0,920.0,130.0,8.0,290.0,2337.0,33.0,291.0,8.0,16.0,33.0,49.0,147.0,318.0,366.0,904.0,521.0,290.0,57.0,1783.0,226.0,33.0,41.0,33.0,8.0,2166.0,65.0,122.0,293.0,16.0,2166.0,122.0,283.0,98.0,2035.0,262.0,0.0,8.0,423.0,497.0,1286.0,179.0,294.0,953.0,1425.0,0.0,24.0,295.0,2369.0,16.0,0.0,0.0,16.0,295.0
Commuter Rail,Greenbush Line,West Hingham to Cohasset,685.0,10.0,10.0,20.0,31.0,74.0,31.0,542.0,143.0,20.0,10.0,20.0,75.0,542.0,153.0,0.0,31.0,71.0,0.0,0.0,0.0,541.0,53.0,20.0,0.0,61.0,0.0,72.0,15.0,71.0,450.0,82.0,174.0,0.0,76.0,0.0,0.0,0.0,0.0,460.0,307.0,75.0,0.0,10.0,174.0,61.0,20.0,0.0,327.0,10.0,45.0,0.0,194.0,368.0,204.0,75.0,0.0,123.0,337.0,276.0,31.0,0.0,75.0,736.0,20.0,74.0,10.0,20.0,10.0,10.0,31.0,92.0,102.0,317.0,143.0,72.0,41.0,552.0,58.0,10.0,10.0,10.0,0.0,665.0,31.0,41.0,75.0,10.0,716.0,41.0,75.0,41.0,665.0,69.0,0.0,0.0,123.0,194.0,399.0,41.0,74.0,307.0,460.0,0.0,0.0,75.0,767.0,0.0,0.0,0.0,0.0,75.0
Commuter Rail,"Greenbush, Middleborough/Lakeville, and Kingston/Plymouth Lines",JFK/UMASS,281.0,140.0,0.0,0.0,23.0,38.0,,,,,,,39.0,257.0,94.0,0.0,0.0,30.0,0.0,0.0,12.0,246.0,22.0,12.0,12.0,70.0,0.0,0.0,8.0,,,,,,23.0,105.0,94.0,0.0,17.0,,,39.0,,,,,,,,,20.0,,,,,39.0,,,,,,,39.0,,,40.0,0.0,12.0,12.0,47.0,47.0,47.0,94.0,94.0,117.0,40.0,23.0,328.0,30.0,,,,,,,,40.0,35.0,386.0,35.0,39.0,,,36.0,,,,,,,40.0,,,,,40.0,468.0,0.0,0.0,0.0,0.0,40.0
Commuter Rail,"Greenbush, Middleborough/Lakeville, and Kingston/Plymouth Lines",Quincy Center,,,,,,28.0,,,,,,,30.0,,,,,28.0,,,,,19.0,,,,,,8.0,,,,,,19.0,63.0,54.0,0.0,13.0,,,29.0,,,,,,,,,20.0,,,,,29.0,,,,,,,27.0,,,28.0,,,,,,,,,,27.0,,,21.0,,,,,,,,29.0,9.0,225.0,27.0,29.0,18.0,189.0,23.0,,,,,,,30.0,,,,,30.0,243.0,0.0,0.0,0.0,18.0,29.0
Commuter Rail,Haverhill and Lowell Lines,Anderson/Woburn,830.0,16.0,8.0,8.0,56.0,116.0,16.0,688.0,134.0,32.0,16.0,55.0,119.0,712.0,182.0,0.0,16.0,115.0,0.0,0.0,0.0,712.0,90.0,8.0,24.0,71.0,0.0,79.0,23.0,63.0,633.0,47.0,174.0,24.0,119.0,0.0,0.0,0.0,0.0,419.0,514.0,118.0,0.0,16.0,237.0,55.0,16.0,16.0,198.0,0.0,51.0,40.0,174.0,506.0,221.0,119.0,32.0,79.0,411.0,332.0,8.0,8.0,110.0,902.0,40.0,119.0,0.0,8.0,16.0,47.0,55.0,190.0,166.0,277.0,150.0,115.0,24.0,735.0,96.0,24.0,47.0,24.0,0.0,815.0,16.0,47.0,119.0,24.0,822.0,71.0,116.0,111.0,751.0,109.0,0.0,40.0,308.0,174.0,395.0,24.0,119.0,293.0,617.0,0.0,32.0,119.0,933.0,0.0,0.0,0.0,8.0,119.0
Commuter Rail,Haverhill and Lowell Lines,Wilmington and North Wilmington,605.0,0.0,9.0,0.0,0.0,68.0,9.0,451.0,135.0,27.0,0.0,9.0,70.0,460.0,144.0,0.0,9.0,68.0,0.0,0.0,0.0,460.0,51.0,0.0,18.0,63.0,0.0,63.0,16.0,90.0,352.0,27.0,163.0,0.0,70.0,0.0,0.0,0.0,0.0,280.0,316.0,66.0,0.0,9.0,172.0,45.0,18.0,9.0,99.0,0.0,34.0,18.0,117.0,361.0,117.0,68.0,18.0,18.0,289.0,262.0,9.0,0.0,66.0,578.0,36.0,68.0,18.0,18.0,36.0,27.0,63.0,72.0,90.0,163.0,117.0,67.0,72.0,415.0,54.0,0.0,27.0,9.0,0.0,524.0,0.0,36.0,66.0,27.0,560.0,27.0,68.0,63.0,506.0,63.0,0.0,0.0,244.0,117.0,226.0,27.0,68.0,163.0,442.0,0.0,9.0,68.0,614.0,0.0,9.0,0.0,0.0,69.0
